VF3_CumVerse,VF3_BCV,VF3_BookIndex,VF3_BookName,VF3_Chapter,VF3_Verse
4566,Acts 22:7,5,Acts,22,7
4390,Acts 17:12,5,Acts,17,12
3880,Acts 4:3,5,Acts,4,3
6013,Galatians 4:27,9,Galatians,4,27
5875,2 Corinthians 11:31,8,2 Corinthians,11,31
7074,Hebrews 12:7,19,Hebrews,12,7
1495,Mark 10:51,2,Mark,10,51
73,Matthew 4:8,1,Matthew,4,8
2446,Luke 15:2,3,Luke,15,2
4435,Acts 18:23,5,Acts,18,23
4582,Acts 22:23,5,Acts,22,23
5299,1 Corinthians 4:11,7,1 Corinthians,4,11
4358,Acts 16:20,5,Acts,16,20
3644,John 18:4,4,John,18,4
5760,2 Corinthians 6:7,8,2 Corinthians,6,7
2944,John 1:45,4,John,1,45
7480,1 John 5:1,23,1 John,5,1
7474,1 John 4:16,23,1 John,4,16
6102,Ephesians 2:18,10,Ephesians,2,18
5774,2 Corinthians 7:3,8,2 Corinthians,7,3
4212,Acts 12:20,5,Acts,12,20
3755,John 21:2,4,John,21,2
4142,Acts 10:28,5,Acts,10,28
5041,Romans 9:31,6,Romans,9,31
2629,Luke 19:42,3,Luke,19,42
5125,Romans 13:4,6,Romans,13,4
2893,Luke 24:46,3,Luke,24,46
6369,Colossians 2:20,12,Colossians,2,20
2766,Luke 22:46,3,Luke,22,46
5811,2 Corinthians 8:24,8,2 Corinthians,8,24
3646,John 18:6,4,John,18,6
4311,Acts 15:14,5,Acts,15,14
7037,Hebrews 11:10,19,Hebrews,11,10
1626,Mark 14:16,2,Mark,14,16
1920,Luke 4:1,3,Luke,4,1
2937,John 1:38,4,John,1,38
4357,Acts 16:19,5,Acts,16,19
4640,Acts 24:16,5,Acts,24,16
4491,Acts 20:10,5,Acts,20,10
1175,Mark 3:31,2,Mark,3,31
95,Matthew 5:5,1,Matthew,5,5
7307,1 Peter 4:6,21,1 Peter,4,6
80,Matthew 4:15,1,Matthew,4,15
270,Matthew 9:35,1,Matthew,9,35
5463,1 Corinthians 11:8,7,1 Corinthians,11,8
7463,1 John 4:5,23,1 John,4,5
542,Matthew 16:14,1,Matthew,16,14
7657,Revelation 6:8,27,Revelation,6,8
5991,Galatians 4:5,9,Galatians,4,5
4,Matthew 1:4,1,Matthew,1,4
5233,1 Corinthians 1:15,7,1 Corinthians,1,15
4132,Acts 10:18,5,Acts,10,18
4293,Acts 14:24,5,Acts,14,24
5300,1 Corinthians 4:12,7,1 Corinthians,4,12
1137,Mark 2:21,2,Mark,2,21
3725,John 20:3,4,John,20,3
2905,John 1:6,4,John,1,6
6391,Colossians 3:19,12,Colossians,3,19
3837,Acts 2:33,5,Acts,2,33
5690,2 Corinthians 2:11,8,2 Corinthians,2,11
1098,Mark 1:27,2,Mark,1,27
5897,2 Corinthians 12:20,8,2 Corinthians,12,20
5942,Galatians 2:6,9,Galatians,2,6
190,Matthew 7:18,1,Matthew,7,18
7656,Revelation 6:7,27,Revelation,6,7
1959,Luke 4:40,3,Luke,4,40
4543,Acts 21:24,5,Acts,21,24
1697,Mark 15:15,2,Mark,15,15
3190,John 7:7,4,John,7,7
140,Matthew 6:2,1,Matthew,6,2
2022,Luke 6:20,3,Luke,6,20
2138,Luke 8:37,3,Luke,8,37
5559,1 Corinthians 14:26,7,1 Corinthians,14,26
4719,Acts 27:9,5,Acts,27,9
6794,Philemon 1:1,18,Philemon,1,1
2463,Luke 15:19,3,Luke,15,19
3272,John 8:36,4,John,8,36
7274,1 Peter 2:20,21,1 Peter,2,20
6992,Hebrews 10:4,19,Hebrews,10,4
1782,Luke 1:33,3,Luke,1,33
2398,Luke 13:24,3,Luke,13,24
384,Matthew 12:39,1,Matthew,12,39
3462,John 12:27,4,John,12,27
2204,Luke 9:47,3,Luke,9,47
6340,Colossians 1:20,12,Colossians,1,20
4629,Acts 24:5,5,Acts,24,5
1963,Luke 4:44,3,Luke,4,44
2579,Luke 18:35,3,Luke,18,35
2930,John 1:31,4,John,1,31
7821,Revelation 16:11,27,Revelation,16,11
3732,John 20:10,4,John,20,10
7558,Revelation 1:5,27,Revelation,1,5
4022,Acts 7:51,5,Acts,7,51
7081,Hebrews 12:14,19,Hebrews,12,14
2511,Luke 17:4,3,Luke,17,4
5417,1 Corinthians 9:22,7,1 Corinthians,9,22
1548,Mark 12:19,2,Mark,12,19
4094,Acts 9:23,5,Acts,9,23
5654,1 Corinthians 16:23,7,1 Corinthians,16,23
443,Matthew 13:48,1,Matthew,13,48
5035,Romans 9:25,6,Romans,9,25
2761,Luke 22:41,3,Luke,22,41
1244,Mark 5:24,2,Mark,5,24
5176,Romans 15:18,6,Romans,15,18
4301,Acts 15:4,5,Acts,15,4
7701,Revelation 9:5,27,Revelation,9,5
4147,Acts 10:33,5,Acts,10,33
5821,2 Corinthians 9:10,8,2 Corinthians,9,10
5872,2 Corinthians 11:28,8,2 Corinthians,11,28
556,Matthew 16:28,1,Matthew,16,28
2143,Luke 8:42,3,Luke,8,42
3063,John 4:52,4,John,4,52
1508,Mark 11:12,2,Mark,11,12
2030,Luke 6:28,3,Luke,6,28
4691,Acts 26:13,5,Acts,26,13
5866,2 Corinthians 11:22,8,2 Corinthians,11,22
5053,Romans 10:10,6,Romans,10,10
2316,Luke 12:1,3,Luke,12,1
954,Matthew 26:44,1,Matthew,26,44
6582,1 Timothy 2:11,15,1 Timothy,2,11
1044,Matthew 27:59,1,Matthew,27,59
6692,2 Timothy 2:10,16,2 Timothy,2,10
3318,John 9:23,4,John,9,23
7268,1 Peter 2:14,21,1 Peter,2,14
3187,John 7:4,4,John,7,4
4849,Romans 3:3,6,Romans,3,3
4940,Romans 6:17,6,Romans,6,17
6029,Galatians 5:12,9,Galatians,5,12
7885,Revelation 19:12,27,Revelation,19,12
3792,Acts 1:14,5,Acts,1,14
6713,2 Timothy 3:5,16,2 Timothy,3,5
1622,Mark 14:12,2,Mark,14,12
1682,Mark 14:72,2,Mark,14,72
3572,John 15:18,4,John,15,18
4931,Romans 6:8,6,Romans,6,8
497,Matthew 15:8,1,Matthew,15,8
646,Matthew 19:28,1,Matthew,19,28
5833,2 Corinthians 10:7,8,2 Corinthians,10,7
5603,1 Corinthians 15:30,7,1 Corinthians,15,30
7023,Hebrews 10:35,19,Hebrews,10,35
6789,Titus 3:11,17,Titus,3,11
1167,Mark 3:23,2,Mark,3,23
6211,Ephesians 6:19,10,Ephesians,6,19
3734,John 20:12,4,John,20,12
4468,Acts 19:28,5,Acts,19,28
4175,Acts 11:13,5,Acts,11,13
153,Matthew 6:15,1,Matthew,6,15
5317,1 Corinthians 5:8,7,1 Corinthians,5,8
4225,Acts 13:8,5,Acts,13,8
4950,Romans 7:4,6,Romans,7,4
2616,Luke 19:29,3,Luke,19,29
1652,Mark 14:42,2,Mark,14,42
3209,John 7:26,4,John,7,26
4942,Romans 6:19,6,Romans,6,19
5505,1 Corinthians 12:16,7,1 Corinthians,12,16
7659,Revelation 6:10,27,Revelation,6,10
7811,Revelation 16:1,27,Revelation,16,1
5495,1 Corinthians 12:6,7,1 Corinthians,12,6
3511,John 13:26,4,John,13,26
2918,John 1:19,4,John,1,19
2243,Luke 10:24,3,Luke,10,24
7307,1 Peter 4:6,21,1 Peter,4,6
870,Matthew 25:6,1,Matthew,25,6
1841,Luke 2:12,3,Luke,2,12
2469,Luke 15:25,3,Luke,15,25
1649,Mark 14:39,2,Mark,14,39
3557,John 15:3,4,John,15,3
2692,Luke 21:10,3,Luke,21,10
3573,John 15:19,4,John,15,19
1420,Mark 9:26,2,Mark,9,26
2622,Luke 19:35,3,Luke,19,35
112,Matthew 5:22,1,Matthew,5,22
2356,Luke 12:41,3,Luke,12,41
353,Matthew 12:8,1,Matthew,12,8
1256,Mark 5:36,2,Mark,5,36
7269,1 Peter 2:15,21,1 Peter,2,15
4221,Acts 13:4,5,Acts,13,4
7636,Revelation 5:1,27,Revelation,5,1
6629,1 Timothy 5:11,15,1 Timothy,5,11
4485,Acts 20:4,5,Acts,20,4
906,Matthew 25:42,1,Matthew,25,42
6893,Hebrews 5:8,19,Hebrews,5,8
82,Matthew 4:17,1,Matthew,4,17
749,Matthew 22:21,1,Matthew,22,21
6033,Galatians 5:16,9,Galatians,5,16
763,Matthew 22:35,1,Matthew,22,35
461,Matthew 14:8,1,Matthew,14,8
1877,Luke 2:48,3,Luke,2,48
3667,John 18:27,4,John,18,27
6451,1 Thessalonians 3:6,13,1 Thessalonians,3,6
1038,Matthew 27:53,1,Matthew,27,53
7118,Hebrews 13:22,19,Hebrews,13,22
6483,1 Thessalonians 5:7,13,1 Thessalonians,5,7
2924,John 1:25,4,John,1,25
2177,Luke 9:20,3,Luke,9,20
2044,Luke 6:42,3,Luke,6,42
4539,Acts 21:20,5,Acts,21,20
3669,John 18:29,4,John,18,29
7787,Revelation 14:5,27,Revelation,14,5
2260,Luke 10:41,3,Luke,10,41
6489,1 Thessalonians 5:13,13,1 Thessalonians,5,13
7594,Revelation 2:21,27,Revelation,2,21
6773,Titus 2:10,17,Titus,2,10
4056,Acts 8:25,5,Acts,8,25
1963,Luke 4:44,3,Luke,4,44
3765,John 21:12,4,John,21,12
1997,Luke 5:34,3,Luke,5,34
5417,1 Corinthians 9:22,7,1 Corinthians,9,22
5405,1 Corinthians 9:10,7,1 Corinthians,9,10
7319,1 Peter 4:18,21,1 Peter,4,18
5549,1 Corinthians 14:16,7,1 Corinthians,14,16
4635,Acts 24:11,5,Acts,24,11
4551,Acts 21:32,5,Acts,21,32
4223,Acts 13:6,5,Acts,13,6
7086,Hebrews 12:19,19,Hebrews,12,19
6480,1 Thessalonians 5:4,13,1 Thessalonians,5,4
119,Matthew 5:29,1,Matthew,5,29
3247,John 8:11,4,John,8,11
7270,1 Peter 2:16,21,1 Peter,2,16
1299,Mark 6:36,2,Mark,6,36
7198,James 4:6,20,James,4,6
5983,Galatians 3:26,9,Galatians,3,26
1009,Matthew 27:24,1,Matthew,27,24
4726,Acts 27:16,5,Acts,27,16
5763,2 Corinthians 6:10,8,2 Corinthians,6,10
4675,Acts 25:24,5,Acts,25,24
1796,Luke 1:47,3,Luke,1,47
7219,James 5:10,20,James,5,10
1712,Mark 15:30,2,Mark,15,30
