VF1_CumVerse,VF1_BCV,VF1_BookIndex,VF1_BookName,VF1_Chapter,VF1_Verse
6073,Ephesians 1:12,10,Ephesians,1,12
5085,Romans 11:21,6,Romans,11,21
5366,1 Corinthians 7:24,7,1 Corinthians,7,24
956,Matthew 26:46,1,Matthew,26,46
5068,Romans 11:4,6,Romans,11,4
1675,Mark 14:65,2,Mark,14,65
7732,Revelation 11:4,27,Revelation,11,4
3088,John 5:23,4,John,5,23
3174,John 6:62,4,John,6,62
2173,Luke 9:16,3,Luke,9,16
2044,Luke 6:42,3,Luke,6,42
7776,Revelation 13:12,27,Revelation,13,12
4406,Acts 17:28,5,Acts,17,28
4902,Romans 4:25,6,Romans,4,25
3610,John 16:29,4,John,16,29
5192,Romans 16:1,6,Romans,16,1
6892,Hebrews 5:7,19,Hebrews,5,7
2885,Luke 24:38,3,Luke,24,38
5076,Romans 11:12,6,Romans,11,12
6943,Hebrews 7:24,19,Hebrews,7,24
3830,Acts 2:26,5,Acts,2,26
5731,2 Corinthians 4:17,8,2 Corinthians,4,17
6632,1 Timothy 5:14,15,1 Timothy,5,14
27,Matthew 2:2,1,Matthew,2,2
843,Matthew 24:30,1,Matthew,24,30
1855,Luke 2:26,3,Luke,2,26
2992,John 3:17,4,John,3,17
5395,1 Corinthians 8:13,7,1 Corinthians,8,13
5525,1 Corinthians 13:5,7,1 Corinthians,13,5
4018,Acts 7:47,5,Acts,7,47
6766,Titus 2:3,17,Titus,2,3
773,Matthew 22:45,1,Matthew,22,45
4537,Acts 21:18,5,Acts,21,18
7484,1 John 5:5,23,1 John,5,5
6849,Hebrews 2:17,19,Hebrews,2,17
1482,Mark 10:38,2,Mark,10,38
5722,2 Corinthians 4:8,8,2 Corinthians,4,8
1118,Mark 2:2,2,Mark,2,2
4141,Acts 10:27,5,Acts,10,27
358,Matthew 12:13,1,Matthew,12,13
3009,John 3:34,4,John,3,34
1081,Mark 1:10,2,Mark,1,10
2121,Luke 8:20,3,Luke,8,20
5437,1 Corinthians 10:15,7,1 Corinthians,10,15
7581,Revelation 2:8,27,Revelation,2,8
1349,Mark 7:30,2,Mark,7,30
2833,Luke 23:42,3,Luke,23,42
4839,Romans 2:22,6,Romans,2,22
5131,Romans 13:10,6,Romans,13,10
1960,Luke 4:41,3,Luke,4,41
1372,Mark 8:16,2,Mark,8,16
6396,Colossians 3:24,12,Colossians,3,24
3497,John 13:12,4,John,13,12
4876,Romans 3:30,6,Romans,3,30
3516,John 13:31,4,John,13,31
4482,Acts 20:1,5,Acts,20,1
6528,2 Thessalonians 2:12,14,2 Thessalonians,2,12
2415,Luke 14:6,3,Luke,14,6
4225,Acts 13:8,5,Acts,13,8
6186,Ephesians 5:27,10,Ephesians,5,27
4430,Acts 18:18,5,Acts,18,18
5759,2 Corinthians 6:6,8,2 Corinthians,6,6
3288,John 8:52,4,John,8,52
6447,1 Thessalonians 3:2,13,1 Thessalonians,3,2
1625,Mark 14:15,2,Mark,14,15
208,Matthew 8:7,1,Matthew,8,7
4977,Romans 8:6,6,Romans,8,6
5494,1 Corinthians 12:5,7,1 Corinthians,12,5
6806,Philemon 1:13,18,Philemon,1,13
4293,Acts 14:24,5,Acts,14,24
1857,Luke 2:28,3,Luke,2,28
5328,1 Corinthians 6:6,7,1 Corinthians,6,6
7064,Hebrews 11:37,19,Hebrews,11,37
7642,Revelation 5:7,27,Revelation,5,7
7516,3 John 1:3,25,3 John,1,3
7366,2 Peter 2:11,22,2 Peter,2,11
1860,Luke 2:31,3,Luke,2,31
6890,Hebrews 5:5,19,Hebrews,5,5
742,Matthew 22:14,1,Matthew,22,14
1979,Luke 5:16,3,Luke,5,16
5746,2 Corinthians 5:14,8,2 Corinthians,5,14
1387,Mark 8:31,2,Mark,8,31
