BF3_CumVerse,BF3_BCV,BF3_BookIndex,BF3_BookName,BF3_Chapter,BF3_Verse
7524,3 John 1:11,25,3 John,1,11
7504,2 John 1:4,24,2 John,1,4
6296,Philippians 3:20,11,Philippians,3,20
7362,2 Peter 2:7,22,2 Peter,2,7
7268,1 Peter 2:14,21,1 Peter,2,14
6650,1 Timothy 6:7,15,1 Timothy,6,7
7804,Revelation 15:2,27,Revelation,15,2
3748,John 20:26,4,John,20,26
5717,2 Corinthians 4:3,8,2 Corinthians,4,3
5438,1 Corinthians 10:16,7,1 Corinthians,10,16
6717,2 Timothy 3:9,16,2 Timothy,3,9
6754,Titus 1:7,17,Titus,1,7
4810,Romans 1:25,6,Romans,1,25
6049,Galatians 6:6,9,Galatians,6,6
6026,Galatians 5:9,9,Galatians,5,9
1270,Mark 6:7,2,Mark,6,7
2702,Luke 21:20,3,Luke,21,20
3578,John 15:24,4,John,15,24
7504,2 John 1:4,24,2 John,1,4
1541,Mark 12:12,2,Mark,12,12
3344,John 10:8,4,John,10,8
6402,Colossians 4:5,12,Colossians,4,5
6187,Ephesians 5:28,10,Ephesians,5,28
7354,2 Peter 1:20,22,2 Peter,1,20
5813,2 Corinthians 9:2,8,2 Corinthians,9,2
7549,Jude 1:21,26,Jude,1,21
6800,Philemon 1:7,18,Philemon,1,7
6671,2 Timothy 1:7,16,2 Timothy,1,7
3122,John 6:10,4,John,6,10
561,Matthew 17:5,1,Matthew,17,5
6389,Colossians 3:17,12,Colossians,3,17
5826,2 Corinthians 9:15,8,2 Corinthians,9,15
6773,Titus 2:10,17,Titus,2,10
3968,Acts 6:12,5,Acts,6,12
6459,1 Thessalonians 4:1,13,1 Thessalonians,4,1
4429,Acts 18:17,5,Acts,18,17
6208,Ephesians 6:16,10,Ephesians,6,16
6069,Ephesians 1:8,10,Ephesians,1,8
7359,2 Peter 2:4,22,2 Peter,2,4
6205,Ephesians 6:13,10,Ephesians,6,13
5965,Galatians 3:8,9,Galatians,3,8
7361,2 Peter 2:6,22,2 Peter,2,6
6800,Philemon 1:7,18,Philemon,1,7
7361,2 Peter 2:6,22,2 Peter,2,6
6310,Philippians 4:13,11,Philippians,4,13
614,Matthew 18:31,1,Matthew,18,31
6571,1 Timothy 1:20,15,1 Timothy,1,20
6784,Titus 3:6,17,Titus,3,6
6581,1 Timothy 2:10,15,1 Timothy,2,10
6710,2 Timothy 3:2,16,2 Timothy,3,2
7506,2 John 1:6,24,2 John,1,6
7513,2 John 1:13,24,2 John,1,13
6289,Philippians 3:13,11,Philippians,3,13
7073,Hebrews 12:6,19,Hebrews,12,6
7501,2 John 1:1,24,2 John,1,1
6812,Philemon 1:19,18,Philemon,1,19
5955,Galatians 2:19,9,Galatians,2,19
7433,1 John 2:28,23,1 John,2,28
6421,1 Thessalonians 1:6,13,1 Thessalonians,1,6
5987,Galatians 4:1,9,Galatians,4,1
5662,2 Corinthians 1:7,8,2 Corinthians,1,7
6646,1 Timothy 6:3,15,1 Timothy,6,3
5209,Romans 16:18,6,Romans,16,18
7476,1 John 4:18,23,1 John,4,18
3206,John 7:23,4,John,7,23
1500,Mark 11:4,2,Mark,11,4
1572,Mark 12:43,2,Mark,12,43
4810,Romans 1:25,6,Romans,1,25
5868,2 Corinthians 11:24,8,2 Corinthians,11,24
6860,Hebrews 3:10,19,Hebrews,3,10
7303,1 Peter 4:2,21,1 Peter,4,2
5706,2 Corinthians 3:10,8,2 Corinthians,3,10
7880,Revelation 19:7,27,Revelation,19,7
6718,2 Timothy 3:10,16,2 Timothy,3,10
5466,1 Corinthians 11:11,7,1 Corinthians,11,11
7134,James 1:13,20,James,1,13
6550,2 Thessalonians 3:17,14,2 Thessalonians,3,17
673,Matthew 20:25,1,Matthew,20,25
7513,2 John 1:13,24,2 John,1,13
5354,1 Corinthians 7:12,7,1 Corinthians,7,12
7514,3 John 1:1,25,3 John,1,1
2860,Luke 24:13,3,Luke,24,13
6815,Philemon 1:22,18,Philemon,1,22
6800,Philemon 1:7,18,Philemon,1,7
6227,Philippians 1:11,11,Philippians,1,11
5906,2 Corinthians 13:8,8,2 Corinthians,13,8
6044,Galatians 6:1,9,Galatians,6,1
1075,Mark 1:4,2,Mark,1,4
7259,1 Peter 2:5,21,1 Peter,2,5
1785,Luke 1:36,3,Luke,1,36
6750,Titus 1:3,17,Titus,1,3
7780,Revelation 13:16,27,Revelation,13,16
7503,2 John 1:3,24,2 John,1,3
7394,2 Peter 3:17,22,2 Peter,3,17
6402,Colossians 4:5,12,Colossians,4,5
6788,Titus 3:10,17,Titus,3,10
3293,John 8:57,4,John,8,57
5679,2 Corinthians 1:24,8,2 Corinthians,1,24
5525,1 Corinthians 13:5,7,1 Corinthians,13,5
73,Matthew 4:8,1,Matthew,4,8
6614,1 Timothy 4:12,15,1 Timothy,4,12
7510,2 John 1:10,24,2 John,1,10
6631,1 Timothy 5:13,15,1 Timothy,5,13
5554,1 Corinthians 14:21,7,1 Corinthians,14,21
6783,Titus 3:5,17,Titus,3,5
6422,1 Thessalonians 1:7,13,1 Thessalonians,1,7
7297,1 Peter 3:18,21,1 Peter,3,18
7524,3 John 1:11,25,3 John,1,11
7227,James 5:18,20,James,5,18
6518,2 Thessalonians 2:2,14,2 Thessalonians,2,2
5497,1 Corinthians 12:8,7,1 Corinthians,12,8
6599,1 Timothy 3:13,15,1 Timothy,3,13
3966,Acts 6:10,5,Acts,6,10
6213,Ephesians 6:21,10,Ephesians,6,21
867,Matthew 25:3,1,Matthew,25,3
7481,1 John 5:2,23,1 John,5,2
6103,Ephesians 2:19,10,Ephesians,2,19
6163,Ephesians 5:4,10,Ephesians,5,4
3770,John 21:17,4,John,21,17
4161,Acts 10:47,5,Acts,10,47
7444,1 John 3:10,23,1 John,3,10
7528,3 John 1:15,25,3 John,1,15
6412,Colossians 4:15,12,Colossians,4,15
7544,Jude 1:16,26,Jude,1,16
7530,Jude 1:2,26,Jude,1,2
7512,2 John 1:12,24,2 John,1,12
7451,1 John 3:17,23,1 John,3,17
6110,Ephesians 3:4,10,Ephesians,3,4
6948,Hebrews 8:1,19,Hebrews,8,1
6507,2 Thessalonians 1:3,14,2 Thessalonians,1,3
7522,3 John 1:9,25,3 John,1,9
7782,Revelation 13:18,27,Revelation,13,18
6757,Titus 1:10,17,Titus,1,10
6640,1 Timothy 5:22,15,1 Timothy,5,22
336,Matthew 11:21,1,Matthew,11,21
7200,James 4:8,20,James,4,8
3502,John 13:17,4,John,13,17
5967,Galatians 3:10,9,Galatians,3,10
7294,1 Peter 3:15,21,1 Peter,3,15
7712,Revelation 9:16,27,Revelation,9,16
461,Matthew 14:8,1,Matthew,14,8
6692,2 Timothy 2:10,16,2 Timothy,2,10
6416,1 Thessalonians 1:1,13,1 Thessalonians,1,1
1708,Mark 15:26,2,Mark,15,26
7355,2 Peter 1:21,22,2 Peter,1,21
7374,2 Peter 2:19,22,2 Peter,2,19
6487,1 Thessalonians 5:11,13,1 Thessalonians,5,11
4045,Acts 8:14,5,Acts,8,14
7350,2 Peter 1:16,22,2 Peter,1,16
6230,Philippians 1:14,11,Philippians,1,14
6793,Titus 3:15,17,Titus,3,15
7062,Hebrews 11:35,19,Hebrews,11,35
7379,2 Peter 3:2,22,2 Peter,3,2
7541,Jude 1:13,26,Jude,1,13
6254,Philippians 2:8,11,Philippians,2,8
6806,Philemon 1:13,18,Philemon,1,13
5831,2 Corinthians 10:5,8,2 Corinthians,10,5
6102,Ephesians 2:18,10,Ephesians,2,18
6457,1 Thessalonians 3:12,13,1 Thessalonians,3,12
6540,2 Thessalonians 3:7,14,2 Thessalonians,3,7
6301,Philippians 4:4,11,Philippians,4,4
7332,1 Peter 5:12,21,1 Peter,5,12
